inserted_at|slot|value|validated_at|hash
 2023-03-01 16:41:25.070741 | 5098407 |   97696261465091512 | 2023-03-01 16:41:25.059201 | 0xd595b8
 2023-03-01 16:44:49.130714 | 5098424 |  103400729769131674 | 2023-03-01 16:44:49.11639  | 0x3e6d95
 2023-03-01 16:55:00.827501 | 5098475 |   48068443193975000 | 2023-03-01 16:55:00.809381 | 0xe25c17
 2023-03-01 17:17:00.820387 | 5098585 |  225507927158102455 | 2023-03-01 17:17:00.799422 | 0x731cd3
 2023-03-01 17:51:48.553772 | 5098759 |  136243322469010438 | 2023-03-01 17:51:48.53422  | 0x1d5e76
 2023-03-01 18:09:24.894958 | 5098847 |   56687031038953879 | 2023-03-01 18:09:24.807264 | 0x5c27c0
 2023-03-01 18:37:12.872945 | 5098986 |  112742194836710298 | 2023-03-01 18:37:12.855546 | 0x418cf7
 2023-03-01 19:47:00.461974 | 5099335 |   30502963562038429 | 2023-03-01 19:47:00.446199 | 0x120774
 2023-03-01 20:07:48.497984 | 5099439 |   41453010412429347 | 2023-03-01 20:07:48.483426 | 0xb2e3fe
 2023-03-01 20:59:48.702271 | 5099699 |  991409144672285558 | 2023-03-01 20:59:48.674454 | 0x3a722d
 2023-03-01 21:04:48.900264 | 5099724 |   15497052634903346 | 2023-03-01 21:04:48.887712 | 0x7c173a
 2023-03-01 21:06:24.655035 | 5099732 |   44592827063971920 | 2023-03-01 21:06:24.639385 | 0xf40c63
 2023-03-01 21:14:24.576219 | 5099772 |   22530203106951386 | 2023-03-01 21:14:24.564747 | 0xf3d6eb
 2023-03-01 21:20:24.952239 | 5099802 |   28424318325960334 | 2023-03-01 21:20:24.834028 | 0x350fce
 2023-03-01 22:08:12.81774  | 5100041 |   31029451309858915 | 2023-03-01 22:08:12.802774 | 0x7d58fd
 2023-03-01 22:09:01.286525 | 5100045 |   36996609221605687 | 2023-03-01 22:09:01.226656 | 0x4ae261
 2023-03-01 22:18:48.839347 | 5100094 |    9243354322516662 | 2023-03-01 22:18:48.788072 | 0x00508d
 2023-03-01 22:20:01.183936 | 5100100 |  997509554176251086 | 2023-03-01 22:20:01.123141 | 0x9f28e9
 2023-03-01 22:46:00.834223 | 5100230 |   38284475271265902 | 2023-03-01 22:46:00.645372 | 0xa20679
 2023-03-01 22:57:48.834475 | 5100289 |   11991978424128172 | 2023-03-01 22:57:48.762605 | 0x8d9cfa
 2023-03-01 23:16:00.437715 | 5100380 |   29488709258081963 | 2023-03-01 23:16:00.420803 | 0xdefa28
 2023-03-01 23:26:00.936005 | 5100430 |   17449218366136828 | 2023-03-01 23:26:00.849646 | 0x3bab7d
 2023-03-01 23:26:12.879295 | 5100431 |   35238063719114055 | 2023-03-01 23:26:12.817629 | 0xb2962e
 2023-03-01 23:30:01.437669 | 5100450 |   20770636923473993 | 2023-03-01 23:30:01.231741 | 0x0522c6
 2023-03-01 23:33:00.354939 | 5100465 |   14733452015244312 | 2023-03-01 23:33:00.342324 | 0x442350
 2023-03-01 23:52:01.338827 | 5100560 |   48399998624909154 | 2023-03-01 23:52:01.262368 | 0xebec74
 2023-03-01 23:56:36.78197  | 5100583 |   48241830173281450 | 2023-03-01 23:56:36.76893  | 0xc8b8e7
 2023-03-02 00:07:12.471491 | 5100636 |   13009466879513522 | 2023-03-02 00:07:12.462135 | 0x937598
 2023-03-02 00:10:48.799373 | 5100654 |   65293679207417734 | 2023-03-02 00:10:48.790143 | 0x16d910
 2023-03-02 00:15:48.760256 | 5100679 |   56950645312508030 | 2023-03-02 00:15:48.739027 | 0x78bb0e
 2023-03-02 00:26:12.791865 | 5100731 |   36750601694687428 | 2023-03-02 00:26:12.777947 | 0xb57eb7
 2023-03-02 00:39:24.906842 | 5100797 |  787783291654420942 | 2023-03-02 00:39:24.893474 | 0x539d3b
 2023-03-02 00:42:12.559094 | 5100811 |  123757565646700876 | 2023-03-02 00:42:12.54238  | 0xfa6d97
 2023-03-02 00:51:48.941532 | 5100859 |  586311080410634094 | 2023-03-02 00:51:48.922656 | 0x52e810
 2023-03-02 01:07:00.801138 | 5100935 |   16623659314987454 | 2023-03-02 01:07:00.789373 | 0x21c262
 2023-03-02 01:17:36.844969 | 5100988 |   90512379799198572 | 2023-03-02 01:17:36.831785 | 0xa57c53
 2023-03-02 01:37:00.844375 | 5101085 | 3340622238530366655 | 2023-03-02 01:37:00.833475 | 0x0c27f8
 2023-03-02 01:40:00.592756 | 5101100 |   27932064797220803 | 2023-03-02 01:40:00.578437 | 0x7640ea
